iter	Passed	Remaining
902	4484	481
903	4488	476
904	4493	471
905	4498	466
906	4503	461
907	4508	456
908	4513	451
909	4517	446
910	4522	441
911	4527	436
912	4531	431
913	4536	426
914	4541	421
915	4546	416
916	4550	411
917	4555	406
918	4560	401
919	4565	396
920	4569	391
921	4573	386
922	4578	381
923	4584	377
924	4588	372
925	4593	367
926	4598	362
927	4603	357
928	4607	352
929	4612	347
930	4617	342
931	4622	337
932	4627	332
933	4631	327
934	4636	322
935	4641	317
936	4646	312
937	4651	307
938	4656	302
939	4661	297
940	4665	292
941	4670	287
942	4674	282
943	4679	277
944	4683	272
945	4688	267
946	4692	262
947	4698	257
948	4703	252
949	4707	247
950	4712	242
951	4717	237
952	4722	232
953	4726	227
954	4730	222
955	4735	217
956	4739	212
957	4744	207
958	4748	203
959	4753	198
960	4758	193
961	4762	188
962	4767	183
963	4772	178
964	4776	173
965	4781	168
966	4786	163
967	4791	158
968	4796	153
969	4801	148
970	4806	143
971	4812	138
972	4817	133
973	4822	128
974	4827	123
975	4831	118
976	4836	113
977	4841	108
978	4846	103
979	4850	98
980	4854	94
981	4859	89
982	4864	84
983	4868	79
984	4873	74
985	4878	69
986	4882	64
987	4887	59
988	4892	54
989	4896	49
990	4901	44
991	4906	39
992	4911	34
993	4915	29
994	4920	24
995	4924	19
996	4929	14
997	4934	9
998	4939	4
999	4943	0
